,0
0,OR2C3
1,LIMK1
2,CAMKK1
3,DAO
4,TRAF2
5,PIK3CG
6,STBD1
7,STK32B
8,OPRK1
9,ABCB5
10,PGS1
11,FRZB
12,PLK3
13,PRPS1L1
14,CCBE1
15,NPC1
16,KIF20A
17,OR10J1
18,CHEK1
19,COL1A2
20,GRIN2B
21,HKDC1
22,OR4A15
23,OR6C1
24,TDRD9
25,ADCY6
26,MBD3L3
27,PLAUR
28,STK24
29,TYK2
30,HADH
31,AAK1
32,IL22RA2
33,FZD10
34,HSPA1L
35,OR6C75
36,ALOX5AP
37,ERAS
38,NECTIN4
39,MYO1G
40,PODN
41,ADGRF2
42,PLXNA4
43,GSPT2
44,IQCA1
45,OR52K2
46,MYO10
47,PFKFB4
48,MYH2
49,PLA2R1
50,IL17RB
51,OR14K1
52,OR4K1
53,FZD9
54,CHD9
55,ACTBL2
56,IDH3G
57,PDGFRL
58,LILRB2
59,ATL1
60,FLAD1
61,TUBG2
62,FGFR3
63,SCN5A
64,MPPED2
65,PROKR2
66,DGKQ
67,BACE1
68,NNT
69,CD8B
70,OR5AC2
71,CNTNAP1
72,MAP3K6
73,AMOT
74,KSR1
75,TWNK
76,GHR
77,GAL3ST4
78,UBE2G2
79,RPS6KL1
80,CAMK1
81,CCN5
82,MAPKAPK2
83,SMC3
84,ATP13A2
85,EEF2
86,STK11
87,IDNK
88,PTGES2
89,CYB5R2
90,GAPDH
91,ADGRA3
92,GLP2R
93,OR7D4
94,PEX5L
95,CNGB3
96,OGFR
97,LIMK2
98,OR8B12
99,CSF2RA
100,DEFB106A
101,GRM7
102,OR3A2
103,OR5M10
104,MYO3B
105,CALR
106,PAQR9
107,OR4K17
108,NAV2
109,VPS11
110,DNA2
111,MMP9
112,GPER1
113,IPMK
114,LRP2
115,GPRC5C
116,CEP57
117,DYRK4
118,OR52L1
119,ITGA3
120,ACTG1
121,DCLK2
122,TLR3
123,OR51C1P
124,PARP15
125,OR8H3
126,PDPK2P
127,CDK12
128,GPR6
129,PDGFRB
130,ADAM9
131,RRAGD
132,IQCA1L
133,RAB17
134,PIK3C2G
135,GP6
136,DNAJC27
137,SLFN13
138,FMO3
139,PILRA
140,TUBA3E
141,DCN
142,RAB7A
143,OPN1MW3
144,QRFPR
145,OR5M8
146,RAB36
147,RRH
148,GPR139
149,RPS2
150,STK40
151,OR5P3
152,TAS2R9
153,OR52E6
154,CSF2RB
155,OSCAR
156,TAOK1
157,TARS3
158,HSPA8
159,CASR
160,OR4A47
161,OR4K5
162,DLD
163,HLCS
164,ALAS2
165,ABCC10
166,TUT1
167,DNAJA3
168,GPR150
169,PPP5C
170,MATK
171,MVK
172,GP1BB
173,ADGRE2
174,RAB1C
175,P2RY13
176,APOA1
177,MBD3L4
178,SRPK1
179,CCR10
180,OR5C1
181,RAB42
182,RIOK1
183,ACKR4
184,MYO9A
185,ADRA1A
186,CHRM3
187,EEFSEC
188,ATP2B2
189,PGK1
190,CD7
191,OR8G3P
192,A2M
193,P2RY2
194,OR5P2
195,PLK1
196,TNFRSF11A
197,SPARCL1
198,KATNAL1
199,CAT
200,OR52A1
201,NAGK
202,OR1S2
203,UBE2I
204,HTR2C
205,TNFRSF10A
206,TK2
207,STK17B
208,AARSD1
209,OR2B2
210,PTCH1
211,RAB3B
212,SLC1A1
213,ERH
214,MAP3K10
215,OR2T10
216,OXER1
217,RGMB
218,APBB2
219,FBH1
220,NRBP1
221,ATP4A
222,PTPRG
223,PCSK5
224,KIR2DS1
225,PLXNB1
226,STING1
227,UCP1
228,ACVR2A
229,DYRK3
230,ABCC1
231,DUS2
232,TAS2R1
233,OR1D5
234,TAS2R46
235,SMC1B
236,GNAT1
237,TSSK3
238,PAN3
239,TNFRSF10D
240,RTN4RL1
241,EPRS1
242,NKTR
243,DPYD
244,OR52H1
245,GABRA2
246,RIT1
247,OR5T3
248,GRIK5
249,P2RY11
250,PPIC
251,ACOXL
252,SEC62
253,BCHE
254,VN1R2
255,ATP6V1B2
256,ITGA9
257,MYH1
258,MAS1L
259,MAP4K3
260,ATP2B3
261,ARL4D
262,NOG
263,PRKACB
264,Uncharacterized protein
265,PPP3CA
266,FGFRL1
267,HSPH1
268,PIP5K1B
269,MTO1
270,KLRC3
271,HSP90AB2P
272,SIRT2
273,RIT2
274,NUBPL
275,LPAR5
276,GABBR2
277,CCR9
278,SEPTIN11
279,DDX1
280,AK1
281,TAAR6
282,CBR4
283,SETX
284,CCT4
285,UBE2Q2
286,HSPA4L
287,UBE2H
288,OR4D10
289,CABP1
290,OR2K2
291,TAP1
292,OR5W2
293,ITPKC
294,SIRT4
295,MSR1
296,TRMU
297,CHRNB4
298,OR1D2
299,PKN2
300,KIF13B
301,PGLYRP4
302,ENPP2
303,IDH2
304,WNK4
305,RAB40B
306,PRLHR
307,D2HGDH
308,AP2B1
309,GABRR2
310,OR52L2P
311,ADORA3
312,PRPS1
313,KIF21A
314,RTKN
315,SGK2
316,CHRNA4
317,EPHA4
318,RND1
319,TAS1R2
320,OR10C1
321,RAB1B
322,IL12RB2
323,SELENOS
324,PDE4A
325,EIF2AK3
326,RAB26
327,TAPT1
328,CD8B2
329,NAXD
330,NLGN3
331,ARL5A
332,GRM5
333,SEPTIN8
334,MCM4
335,CD48
336,PFKL
337,ACSBG2
338,TMEM63C
339,DDX27
340,DHX37
341,NMNAT1
342,TAS2R20
343,NMNAT2
344,ATP2C2
345,SMC5
346,IKBKE
347,SEPTIN3
348,SQLE
349,ACVR1B
350,KIAA0232
351,OR8K5
352,RAPGEF4
353,HCN4
354,SAMHD1
355,OR6C74
356,CHRNA6
357,ADORA2A
358,GPR156
359,TUBB2A
360,RUNX3
361,EIF2S3B
362,WRNIP1
363,APRT
364,CTBP1
365,TARS2
366,UBE2J1
367,MYH14
368,MARCO
369,SLFN14
370,PLXNB3
371,OR51B2
372,SEPTIN9
373,RHOQ
374,DDX11L8
375,HLA-G
376,CAMKK2
377,DDX43
378,OR52B4
379,PRKAR1A
380,VARS2
381,PTGER1
382,ITM2C
383,TTLL10
384,MTNR1A
385,CENPE
386,ADCY7
387,CCRL2
388,OR5K1
389,STK17A
390,CD22
391,ABCC5
392,ATL2
393,ITM2B
394,UHMK1
395,CHRND
396,KIFC1
397,CDK1
398,FKBP4
399,RTN4RL2
400,TNFRSF17
401,OR8K3
402,ANG
403,RASL10A
404,ERN2
405,OR2J2
406,PRKCZ
407,KIF3C
408,OR7C1
409,SMC6
410,UBE2M
411,AIFM3
412,TXK
413,OR4E2
414,RFC5
415,NUAK2
416,PTPRO
417,DMPK
418,OR5M9
419,ABCB6
420,GALK2
421,ERCC6L2
422,SLC27A1
423,SSTR2
424,RAB28
425,SFRP1
426,SUCNR1
427,CRYM
428,PPM-type phosphatase domain-containing protein
429,FIGNL2
430,TPP1
431,ACTC1
432,KLRG1
433,VDAC2
434,COL4A1
435,OR2T6
436,TOR1A
437,MSH2
438,TTLL1
439,ACKR1
440,GUCY2F
441,OR2F2
442,RRBP1
443,UBE2K
444,GABRP
445,PRMT1
446,GLUD2
447,NME2
448,LRRN2
449,RAP1B
450,PIK3C3
451,GPR162
452,ATP6AP2
453,SRP54
454,CRHBP
455,LIG4
456,RAB44
457,MARK1
458,TRPM6
459,ACOT11
460,COQ6
461,CFTR
462,AGTR2
463,ADCY4
464,TAAR1
465,CTHRC1
466,CBWD1
467,NTSR2
468,IFT27
469,IGFBP6
470,LSG1
471,FZD8
472,PPIA
