"","x"
"1","SCYL3"
"2","FGR"
"3","AK2"
"4","CAMKK1"
"5","PDK4"
"6","PRKAR2B"
"7","PDK2"
"8","MAP3K14"
"9","MAP3K9"
"10","AGK"
"11","DBF4"
"12","CDKL3"
"13","MARK4"
"14","MATK"
"15","CDKL5"
"16","CAMK1G"
"17","CDK11A"
"18","NADK"
"19","DYRK4"
"20","BTK"
"21","FYN"
"22","PIK3C2A"
"23","MAP4K3"
"24","MAP4K5"
"25","CLK1"
"26","PRKCH"
"27","INSRR"
"28","VRK2"
"29","MUSK"
"30","MAP2K3"
"31","DAPK2"
"32","PI4K2B"
"33","TRIO"
"34","PNKP"
"35","PHKA2"
"36","EPHA3"
"37","ROS1"
"38","MAPK9"
"39","PIK3CB"
"40","EIF2AK2"
"41","CDK14"
"42","CAMK2B"
"43","RIOK2"
"44","DGKG"
"45","ALDH18A1"
"46","CDK17"
"47","STYK1"
"48","WNK1"
"49","TNK2"
"50","LTK"
"51","SPHK2"
"52","ADCK1"
"53","HIPK2"
"54","PKN2"
"55","DGKA"
"56","ERBB3"
"57","MYLK"
"58","MAP2K4"
"59","SLK"
"60","PRKCQ"
"61","CDK13"
"62","TIE1"
"63","GOLGA5"
"64","FGFR2"
"65","PFKP"
"66","PHKA1"
"67","PKM"
"68","PRKCZ"
"69","ROCK1"
"70","PDK3"
"71","FGFR3"
"72","COASY"
"73","IP6K2"
"74","MAST4"
"75","NUCKS1"
"76","TGFBR3"
"77","MAPK6"
"78","GUCY2C"
"79","TESK2"
"80","CSNK2A2"
"81","CAMK2A"
"82","EPHA8"
"83","NCK2"
"84","MAP4K4"
"85","RPS6KA2"
"86","TRIB2"
"87","MYO3B"
"88","PRKACA"
"89","RPS6KA6"
"90","SPEG"
"91","MPP5"
"92","MARK2"
"93","STK10"
"94","ALPK1"
"95","MAP3K13"
"96","NUAK1"
"97","TXK"
"98","MARK3"
"99","DLG1"
"100","MAP2K7"
"101","NMRK2"
"102","DGKD"
"103","PAK3"
"104","FGFR1"
"105","ARAF"
"106","PIK3C3"
"107","MKNK1"
"108","EPHA6"
"109","MOK"
"110","MAGI3"
"111","STK17B"
"112","MPP4"
"113","STRADB"
"114","DLG3"
"115","GSK3B"
"116","ULK2"
"117","AK6"
"118","MAP3K4"
"119","CPNE3"
"120","MAST2"
"121","EIF2AK1"
"122","NME8"
"123","ITPKC"
"124","NLK"
"125","AURKA"
"126","MAPKAPK5"
"127","CCNK"
"128","IRAK3"
"129","MAP3K20"
"130","TRPM7"
"131","TYRO3"
"132","XYLB"
"133","MAP3K1"
"134","MYO3A"
"135","SRPK1"
"136","JAK2"
"137","ABL1"
"138","CDC7"
"139","MAST3"
"140","EFNA2"
"141","MKNK2"
"142","TRMT2A"
"143","CRKL"
"144","MAPK1"
"145","GRK3"
"146","CHKB"
"147","CERK"
"148","CDKL1"
"149","ITPK1"
"150","VRK1"
"151","RPS6KA5"
"152","PCK2"
"153","SGK2"
"154","STK4"
"155","PTK6"
"156","TRIB3"
"157","RASSF2"
"158","CSNK2A1"
"159","MYLK2"
"160","HCK"
"161","PAK5"
"162","RIOK3"
"163","GUCY2F"
"164","PRPS2"
"165","BMX"
"166","PIM2"
"167","PGK1"
"168","CDK16"
"169","CDADC1"
"170","CAB39L"
