"","S1-no-drug_Read","S1-no-drug_TPM","S3-no-drug_Read","S3-no-drug_TPM"
"A1BG","   423","6.51911e+00","   403","6.93855e+00"
"A1BG.AS1","   503","8.33008e+00","   477","8.82502e+00"
"A1CF","    19","2.82240e-02","    20","3.31903e-02"
"A2M","  3885","1.02511e+01","  2349","6.92431e+00"
"A2M.AS1","   242","8.79266e+00","   194","7.87448e+00"
"A2ML1","    53","1.05494e-01","    52","1.15630e-01"
"A2MP1","  1725","4.67494e+00","  1566","4.74126e+00"
"A3GALT2","    46","4.11274e-01","    64","6.39247e-01"
"A4GALT","   116","5.09463e-01","   197","9.66577e-01"
"A4GNT","     4","5.90678e-02","     0","0.00000e+00"
"AA06","     0","0.00000e+00","     0","0.00000e+00"
"AAAS","   972","7.15488e+00","  1075","8.84017e+00"
"AACS","  2590","4.26062e+00","  2330","4.28198e+00"
"AACSP1","    96","2.29625e-01","   162","4.32891e-01"
"AADAC","     1","8.88926e-03","     0","0.00000e+00"
"AADACL2","     0","0.00000e+00","     2","1.04406e-02"
"AADACL3","     1","1.01294e-02","     0","0.00000e+00"
"AADACL4","     0","0.00000e+00","     2","1.27029e-02"
"AADACP1","     1","8.85792e-03","     3","2.96872e-02"
"AADAT","  1102","4.48626e+00","  1231","5.59857e+00"
"AAGAB","  1852","4.35235e+00","  1758","4.61548e+00"
"AAK1","  6394","3.78721e+00","  6889","4.55847e+00"
"AAMDC","  1407","1.85261e+00","  1458","2.14468e+00"
"AAMP","  2280","4.76245e+01","  2005","4.67870e+01"
"AANAT","    10","7.64284e-02","    19","1.62227e-01"
"AAR2","  1374","5.10954e+00","  1370","5.69156e+00"
"AARD","    25","5.10060e-01","    11","2.50720e-01"
"AARS1","  4410","1.51717e+01","  4415","1.69684e+01"
"AARS2","   927","8.12703e+00","   950","9.30446e+00"
"AARSD1","  1389","1.27386e+01","  1491","1.52761e+01"
"AASDH","   800","2.08277e+00","   851","2.47512e+00"
"AASDHPPT","  6712","3.70760e+01","  6757","4.16975e+01"
"AASS","  1026","1.85950e+00","  1171","2.37094e+00"
"AATBC","    43","8.09155e-01","    36","7.56800e-01"
"AATF","  1124","1.33470e+00","   992","1.31596e+00"
"AATK","   505","1.16111e+00","   524","1.34595e+00"
"ABALON","  1324","8.91578e+01","  1036","7.79376e+01"
"ABAT","  1507","1.75594e+00","  1290","1.67920e+00"
"ABCA1","  4771","4.15489e+00","  3852","3.74759e+00"
"ABCA10","   276","3.62262e-01","   243","3.56316e-01"
"ABCA11P","  1794","4.72115e+00","  1776","5.22137e+00"
"ABCA12","   130","8.04461e-02","   119","8.22667e-02"
"ABCA13","   555","1.49403e-01","   514","1.54577e-01"
"ABCA17P","   125","1.82963e-01","   116","1.89683e-01"
"ABCA2","  1933","1.14210e+01","  1960","1.29373e+01"
"ABCA3","  7178","1.41807e+01","  7038","1.55331e+01"
"ABCA4","    21","2.09726e-02","    27","3.01240e-02"
"ABCA5","  1028","1.58844e+00","  1163","2.00758e+00"
"ABCA6","    25","5.06961e-02","    33","7.47591e-02"
"ABCA7","  1259","6.33392e+00","  1251","7.03105e+00"
"ABCA8","   264","3.83989e-01","   190","3.08734e-01"
"ABCA9","    90","1.33391e-01","   121","2.00348e-01"
"ABCA9.AS1","    99","1.29120e-01","   130","1.89417e-01"
"ABCB1","   346","2.11449e-01","   261","1.78191e-01"
"ABCB10","  1032","3.13935e+00","   984","3.34403e+00"
"ABCB10P3","    12","7.09959e-01","    13","8.59233e-01"
"ABCB10P4","    18","1.05616e+00","    19","1.24545e+00"
"ABCB11","     6","6.63822e-03","    14","1.73039e-02"
"ABCB4","   425","6.91686e-01","   296","5.38180e-01"
"ABCB5","    43","3.40498e-02","    31","2.74235e-02"
"ABCB6","   640","8.89238e+00","   683","1.06017e+01"
"ABCB7","   530","6.42647e-01","   556","7.53160e-01"
"ABCB8","  1327","8.78321e+00","  1379","1.01968e+01"
"ABCB9","  1842","3.88882e+00","  1629","3.84207e+00"
"ABCC1","  1585","1.04969e+00","  1529","1.13125e+00"
"ABCC10","  2063","1.14634e+01","  2159","1.34024e+01"
"ABCC11","    89","1.41399e-01","    85","1.50866e-01"
"ABCC12","     3","5.12501e-03","     5","9.54244e-03"
"ABCC13","     7","7.08842e-03","    15","1.69691e-02"
"ABCC2","   126","2.30814e-01","   128","2.61949e-01"
"ABCC3","    10","2.22954e-02","    16","3.98521e-02"
"ABCC4","   524","2.38422e-01","   516","2.62289e-01"
"ABCC5","  3833","5.01183e+00","  4717","6.89031e+00"
"ABCC5.AS1","     4","1.00864e-01","     7","1.97192e-01"
"ABCC6","   108","1.85534e-01","   101","1.93837e-01"
"ABCC6P1","    32","1.50945e-01","    18","9.48542e-02"
"ABCC6P2","    10","3.27659e-01","    11","4.02653e-01"
"ABCC8","   457","6.94027e-01","   553","9.38212e-01"
"ABCC9","    26","2.29577e-02","    42","4.14306e-02"
"ABCD1","   555","3.57396e+00","   541","3.89197e+00"
"ABCD1P2","     2","6.11391e-02","     3","1.02453e-01"
"ABCD2","    72","1.32241e-01","    47","9.64381e-02"
"ABCD3","  1867","2.38588e+00","  1833","2.61687e+00"
"ABCD4","  1742","1.25503e+01","  1888","1.51959e+01"
"ABCE1","  4154","1.70415e+01","  4024","1.84423e+01"
"ABCF1","  2838","1.41033e+01","  2563","1.42290e+01"
"ABCF2","  2750","2.24148e+01","  2582","2.35112e+01"
"ABCF2.H2BE1","  2775","1.83968e+01","  2597","1.92338e+01"
"ABCF2P1","     9","6.17744e-01","    11","8.43479e-01"
"ABCF3","  1568","2.51483e+01","  1512","2.70914e+01"
"ABCG1","   686","9.01115e-01","   820","1.20333e+00"
"ABCG2","   161","1.45829e-01","   128","1.29522e-01"
"ABCG4","   411","3.87212e+00","   444","4.67311e+00"
"ABCG5","     4","1.94207e-02","    11","5.96641e-02"
"ABCG8","     7","1.75727e-02","    10","2.80450e-02"
"ABHD1","    47","8.57479e-01","    49","9.98705e-01"
"ABHD10","  1420","1.26729e+01","  1399","1.39482e+01"
"ABHD11","   235","1.08560e+01","   194","1.00120e+01"
"ABHD12","  8418","1.12259e+01","  7129","1.06208e+01"
"ABHD12B","   262","1.01995e+00","   304","1.32211e+00"
"ABHD13","   737","5.95791e+00","   732","6.61078e+00"
"ABHD14A","   632","8.28619e+00","   656","9.60854e+00"
"ABHD14A.ACY1","   941","8.32897e+00","   906","8.95871e+00"
"ABHD14B","  1014","8.72091e+00","   972","9.33912e+00"
"ABHD15","   236","4.65919e+00","   172","3.79352e+00"
"ABHD16A","  1844","1.44070e+01","  1936","1.68980e+01"
"ABHD16B","    58","4.98495e+00","    37","3.55263e+00"
"ABHD17A","  1398","2.05024e+01","  1391","2.27898e+01"
"ABHD17B","   874","2.31025e+00","   923","2.72562e+00"
"ABHD17C","   787","1.32808e+00","   688","1.29705e+00"
"ABHD18","   709","1.21756e+00","   769","1.47532e+00"
"ABHD2"," 10834","1.20834e+01","  9397","1.17086e+01"
