,"CFA sciatic nerves","CFA sciatic nerves","CFA sciatic nerves","naïve sciatic nerves","naïve sciatic nerves","naïve sciatic nerves"
0610010K14Rik,321.6380000,304.8550000,369.2540000,366.619000,448.338000,397.444000
0610012G03Rik,142.3920000,132.3350000,114.5300000,128.080000,134.839000,118.796000
1700021F05Rik,538.9360000,517.7890000,530.8040000,590.002000,519.689000,557.158000
1700037H04Rik,1278.4900000,1244.3800000,1587.0700000,1235.340000,1369.860000,1351.620000
2010300C02Rik,1410.3800000,1345.2000000,1153.5800000,1425.740000,1439.730000,1428.430000
2200002D01Rik,97.0744000,116.0600000,147.9210000,146.302000,159.807000,149.436000
2210016F16Rik,1518.7900000,1494.5400000,1773.9700000,1511.540000,1542.670000,1636.130000
2310061I04Rik,81.3291000,70.4581000,80.8718000,82.647800,92.824700,82.323500
2410002F23Rik,90.1763000,94.6247000,85.0346000,93.177800,122.314000,98.735500
2610301B20Rik,507.1900000,535.8420000,628.9890000,598.116000,578.018000,607.476000
2810408A11Rik,674.1320000,714.4020000,990.9770000,1142.730000,1099.990000,1178.080000
2900026A02Rik,1113.6000000,970.1380000,1012.5300000,969.106000,1065.670000,1124.460000
4931406P16Rik,48.7703000,39.0022000,42.0103000,43.738700,35.256400,45.217500
5031439G07Rik,211.7560000,233.5870000,182.3900000,188.743000,187.563000,178.192000
5730455P16Rik,1173.6400000,1177.4600000,1278.5500000,1118.810000,1218.350000,1114.440000
5830473C10Rik,488.9290000,478.7530000,639.6470000,545.380000,521.395000,447.757000
8030462N17Rik,135.8320000,133.5980000,138.0520000,161.048000,148.591000,161.036000
A1bg,129.8060000,98.1882000,92.9434000,94.257900,100.844000,107.387000
A2m,1297.2400000,1395.1600000,1912.2700000,1579.260000,1737.630000,1601.270000
A830018L16Rik,130.1550000,132.1880000,146.1910000,181.758000,167.722000,149.658000
Aaas,462.1330000,401.3050000,401.2040000,393.004000,367.027000,405.538000
Aacs,8411.9600000,8112.3300000,10062.6000000,8099.820000,8557.520000,8151.290000
Aagab,384.4230000,393.0060000,424.5550000,376.556000,391.684000,440.253000
Aak1,5031.8400000,5227.5700000,5566.0200000,6298.900000,6343.560000,6563.880000
Aamdc,2155.7900000,2158.2800000,2327.1300000,2309.720000,2894.730000,2240.070000
Aamp,875.3670000,901.7510000,1029.3900000,913.783000,916.700000,919.618000
Aar2,355.7800000,329.4800000,392.4820000,318.498000,336.677000,348.481000
Aars,12888.2000000,12924.7000000,15180.3000000,13662.700000,13993.100000,14401.800000
Aars2,361.3690000,260.4100000,283.7000000,333.571000,309.695000,305.518000
Aarsd1,908.9870000,923.5780000,730.3070000,793.046000,804.096000,905.337000
Aasdhppt,760.0380000,768.9210000,943.3940000,668.241000,760.787000,789.738000
Aatf,198.9250000,201.5070000,199.5070000,172.683000,211.297000,210.418000
Aatk,2672.2700000,2851.1900000,3475.7600000,3678.380000,3671.530000,3475.970000
Abat,6870.4400000,6659.4800000,7184.8300000,7158.460000,7347.130000,7390.310000
Abca1,975.3670000,891.2510000,930.0090000,714.215000,851.319000,850.449000
Abca2,864.9250000,859.7450000,815.0320000,842.879000,872.120000,869.355000
Abca3,748.5650000,693.7270000,698.4380000,638.927000,703.008000,692.083000
Abca5,926.1520000,1023.6900000,959.1940000,974.346000,962.012000,918.007000
Abca6,3688.0000000,3921.4200000,4469.4500000,3644.960000,3555.280000,3752.910000
Abca7,458.7250000,474.8300000,442.0380000,442.924000,442.801000,441.201000
Abca8a,1018.7000000,1055.9200000,1072.9100000,1036.860000,1037.360000,1031.960000
Abca8b,6683.8100000,6708.1300000,7280.2000000,6917.770000,6962.150000,6653.980000
Abca9,4479.4500000,4493.7300000,5044.4500000,4244.790000,4442.200000,4307.840000
Abcb10,633.6740000,555.8810000,588.5720000,608.467000,603.783000,528.792000
Abcb11,440.3120000,427.5780000,523.7340000,478.817000,435.411000,474.992000
Abcb1a,5357.8400000,5455.6500000,6314.4600000,5825.570000,5719.490000,5685.490000
Abcb4,2409.7500000,2516.0400000,2767.9100000,2587.140000,2538.010000,2461.240000
Abcb6,570.0940000,538.9750000,566.8080000,534.247000,496.812000,488.591000
Abcb7,1185.1500000,1175.3700000,1147.8600000,1271.430000,1167.860000,1134.060000
Abcb8,1749.1400000,1692.6100000,1627.4400000,1827.660000,1597.890000,1510.790000
Abcb9,1731.4900000,1957.6300000,1915.6200000,1675.410000,1675.400000,1588.990000
Abcc1,1783.6600000,1790.8700000,1782.0400000,1713.230000,1712.780000,1713.710000
Abcc4,1273.7700000,1196.5300000,1260.2700000,1203.130000,1182.040000,1238.170000
Abcc5,167.9420000,152.9190000,178.9940000,158.761000,158.569000,173.904000
Abcc8,347.2860000,346.2200000,324.8490000,333.027000,330.765000,319.150000
Abcc9,287.0700000,265.4650000,261.8080000,214.688000,261.876000,288.649000
Abcd1,491.1040000,486.0280000,530.9910000,469.276000,457.697000,454.412000
Abcd2,4541.1800000,3210.6000000,3355.9400000,2399.190000,3117.620000,3065.390000
Abcd3,3319.1500000,3278.8300000,3348.9100000,3077.080000,3157.910000,2881.640000
Abcd4,305.5040000,275.9260000,293.8800000,263.341000,282.682000,302.142000
Abce1,8385.3200000,7997.3600000,8877.1300000,7908.390000,8391.170000,8231.810000
Abcf1,4509.1900000,4543.1500000,4934.6000000,4763.760000,4854.040000,4755.510000
Abcf2,2181.9300000,2309.0100000,2335.3000000,2310.650000,2315.400000,2345.470000
Abcf3,2495.6700000,2650.6900000,2464.8500000,2465.470000,2511.530000,2383.960000
Abcg2,1114.2600000,1127.5400000,1154.5700000,1118.220000,1107.870000,1129.130000
Abhd10,1132.0400000,1137.7900000,1214.3700000,1135.230000,1147.300000,1227.600000
Abhd11,685.2460000,659.7410000,671.1160000,845.049000,699.128000,614.918000
Abhd12,2386.3100000,2403.3700000,2628.2100000,2451.250000,2390.670000,2396.210000
Abhd14b,3012.8600000,2668.2100000,3469.8300000,2824.090000,3075.450000,3352.480000
Abhd16a,1800.9000000,1777.7800000,1735.9500000,1694.880000,1858.480000,1693.970000
Abhd17a,125.0820000,120.7590000,126.2990000,116.817000,130.263000,122.004000
Abhd17b,262.9110000,264.2950000,252.0700000,254.787000,263.211000,252.233000
Abhd3,75.9558000,72.9963000,64.1395000,66.577000,70.055900,68.764900
Abhd4,1139.9200000,1152.5000000,1297.9700000,1120.670000,1169.220000,1134.470000
Abhd5,7440.6900000,5264.0600000,5330.9400000,3786.570000,4509.460000,4828.100000
Abhd6,1800.0100000,1718.6100000,1782.9900000,1691.560000,1659.070000,1596.810000
Abi1,1436.8400000,1479.7800000,1646.6000000,1527.560000,1585.090000,1646.320000
Abi2,1850.4600000,1944.4300000,1896.6800000,1934.510000,2055.300000,1998.360000
Abi3bp,8617.1200000,8675.9900000,9177.0300000,8612.210000,9080.230000,9483.090000
Abl2,727.9530000,731.2160000,732.6210000,749.773000,746.627000,767.964000
Ablim1,8744.9700000,8893.8100000,9486.9000000,9995.940000,9121.880000,8741.090000
Ablim2,952.4220000,1034.2500000,989.3890000,1028.590000,978.726000,996.696000
Ablim2,75.0229000,66.7909000,65.3616000,87.029100,79.414600,69.731700
Ablim3,472.9020000,393.2580000,392.1090000,401.929000,429.387000,429.071000
Abr,2854.9300000,2975.7100000,3093.1200000,3144.110000,3270.380000,3141.790000
Abracl,804.9590000,655.0730000,980.2040000,719.706000,978.748000,949.074000
Abraxas2,1934.0700000,2081.6000000,2115.6100000,2070.060000,2103.470000,1961.130000
Abtb2,636.3540000,622.5460000,727.4180000,664.860000,697.092000,681.532000
Acaa1a,8554.7000000,7894.3700000,8421.5400000,7664.200000,8022.810000,7455.510000
Acaa2,15010.5000000,14014.4000000,13543.8000000,20832.000000,13256.800000,11784.400000
Acaca,20455.1000000,14094.7000000,17299.4000000,13311.700000,14724.700000,14050.400000
Acacb,3721.9600000,2578.7800000,2831.7600000,2470.990000,2539.090000,2374.330000
Acad10,1972.7900000,1735.6200000,1695.6300000,1940.520000,1699.340000,1569.320000
Acad11,1550.6100000,1099.5500000,1173.6200000,983.709000,992.303000,978.051000
Acad12,402.9300000,354.4380000,408.8300000,513.530000,345.354000,316.072000
Acad8,2374.5400000,2120.0600000,2295.7500000,2259.530000,2106.540000,2089.810000
Acad9,7706.6000000,6857.2200000,7185.6500000,6893.340000,6794.960000,6636.550000
Acadl,8107.9800000,7215.4000000,6938.8400000,10827.800000,6664.380000,6012.010000
Acadm,7194.0600000,5850.5700000,5941.9000000,9006.210000,5708.450000,5207.250000
Acads,9108.0400000,7391.9800000,7516.8600000,9575.780000,7363.980000,6714.570000
