,"SNI sciatic nerves","SNI sciatic nerves","SNI sciatic nerves","naïve sciatic nerves","naïve sciatic nerves","naïve sciatic nerves"
0610010K14Rik,448.9580000,495.1340000,439.5610000,366.619000,448.338000,397.444000
0610012G03Rik,124.7420000,116.2790000,111.3660000,128.080000,134.839000,118.796000
1700021F05Rik,478.1400000,430.2030000,541.4790000,590.002000,519.689000,557.158000
1700037H04Rik,1507.4100000,1703.2700000,1393.2900000,1235.340000,1369.860000,1351.620000
2010300C02Rik,1160.2000000,1054.5800000,1362.0300000,1425.740000,1439.730000,1428.430000
2200002D01Rik,154.8140000,201.7830000,173.2010000,146.302000,159.807000,149.436000
2210016F16Rik,1565.2400000,1905.3100000,1605.6800000,1511.540000,1542.670000,1636.130000
2310061I04Rik,39.1533000,32.4362000,29.4633000,82.647800,92.824700,82.323500
2410002F23Rik,120.1290000,140.4990000,112.9170000,93.177800,122.314000,98.735500
2610301B20Rik,641.0940000,682.0170000,591.2350000,598.116000,578.018000,607.476000
2810408A11Rik,1051.7000000,1173.9300000,1011.2600000,1142.730000,1099.990000,1178.080000
2900026A02Rik,752.8880000,780.8650000,708.2210000,969.106000,1065.670000,1124.460000
4931406P16Rik,39.3835000,47.2091000,43.9525000,43.738700,35.256400,45.217500
5031439G07Rik,227.6200000,231.1330000,240.5180000,188.743000,187.563000,178.192000
5730455P16Rik,1269.0400000,1318.4700000,1161.3100000,1118.810000,1218.350000,1114.440000
5830473C10Rik,596.6030000,611.6540000,553.1650000,545.380000,521.395000,447.757000
8030462N17Rik,159.2700000,188.1740000,152.1690000,161.048000,148.591000,161.036000
A1bg,84.4306000,81.6448000,105.1270000,94.257900,100.844000,107.387000
A2m,3237.3600000,3454.5200000,2985.9300000,1579.260000,1737.630000,1601.270000
A830018L16Rik,109.4930000,116.9460000,100.4790000,181.758000,167.722000,149.658000
Aaas,404.6410000,364.6570000,385.9400000,393.004000,367.027000,405.538000
Aacs,5088.3100000,5372.2800000,4717.7600000,8099.820000,8557.520000,8151.290000
Aagab,404.2760000,422.0460000,385.8000000,376.556000,391.684000,440.253000
Aak1,6059.1100000,6172.2700000,5543.1800000,6298.900000,6343.560000,6563.880000
Aamdc,1802.8500000,2167.9000000,1958.0600000,2309.720000,2894.730000,2240.070000
Aamp,911.0540000,1093.1400000,945.0640000,913.783000,916.700000,919.618000
Aar2,357.4910000,341.1180000,331.4820000,318.498000,336.677000,348.481000
Aars,17149.8000000,18287.9000000,16628.3000000,13662.700000,13993.100000,14401.800000
Aars2,345.6510000,318.8870000,318.5940000,333.571000,309.695000,305.518000
Aarsd1,569.1530000,549.6800000,863.1030000,793.046000,804.096000,905.337000
Aasdhppt,775.0830000,890.0950000,787.1810000,668.241000,760.787000,789.738000
Aatf,228.2380000,235.5410000,211.5570000,172.683000,211.297000,210.418000
Aatk,3429.0400000,3606.0500000,3182.4800000,3678.380000,3671.530000,3475.970000
Abat,6206.8200000,6820.6800000,5974.6600000,7158.460000,7347.130000,7390.310000
Abca1,1531.4600000,1476.4500000,1416.9000000,714.215000,851.319000,850.449000
Abca2,827.2830000,780.7420000,866.6600000,842.879000,872.120000,869.355000
Abca3,754.1600000,722.9670000,735.5530000,638.927000,703.008000,692.083000
Abca5,1043.6100000,923.0590000,867.4840000,974.346000,962.012000,918.007000
Abca6,4423.8000000,4227.9700000,3830.6500000,3644.960000,3555.280000,3752.910000
Abca7,611.1170000,492.8820000,475.1650000,442.924000,442.801000,441.201000
Abca8a,1210.3400000,1137.5500000,932.4380000,1036.860000,1037.360000,1031.960000
Abca8b,6496.6000000,6178.2900000,5773.4000000,6917.770000,6962.150000,6653.980000
Abca9,4705.7600000,4738.7900000,4128.6900000,4244.790000,4442.200000,4307.840000
Abcb10,589.7350000,549.1120000,587.9750000,608.467000,603.783000,528.792000
Abcb11,429.8810000,419.2650000,381.5460000,478.817000,435.411000,474.992000
Abcb1a,5020.9700000,5046.4900000,4449.1900000,5825.570000,5719.490000,5685.490000
Abcb4,2302.4400000,2226.1800000,2090.6700000,2587.140000,2538.010000,2461.240000
Abcb6,638.8470000,523.8180000,596.0860000,534.247000,496.812000,488.591000
Abcb7,1193.2500000,1129.2700000,1203.4500000,1271.430000,1167.860000,1134.060000
Abcb8,1615.6600000,1410.9700000,1592.8600000,1827.660000,1597.890000,1510.790000
Abcb9,2128.4100000,1826.3200000,1698.4700000,1675.410000,1675.400000,1588.990000
Abcc1,1738.8500000,1677.0800000,1514.3100000,1713.230000,1712.780000,1713.710000
Abcc4,1219.9700000,1174.8000000,1113.1400000,1203.130000,1182.040000,1238.170000
Abcc5,155.0220000,193.6450000,138.7830000,158.761000,158.569000,173.904000
Abcc8,278.0800000,313.6230000,295.2400000,333.027000,330.765000,319.150000
