"ID","NES_abs"
"STAT1",3.6609338148651
"STAT2",3.61637583964401
"NFKB1",3.49720601194229
"HIF1A",3.40703400952495
"ZNF263",2.70923623914219
"CEBPA",2.49571539814995
"STAT3",2.49064463040742
"SPI1",2.46919384266389
"SP1",2.39900357458509
"TFAP2A",2.24725894179123
"IRF2",1.81441468416676
"SP3",1.75096800765077
"AR",1.66377102146369
"E2F1",1.33671779274569
"BCL6",1.16822311479924
"ETS1",1.16539092923635
"BHLHE22",1.14453845915491
"CUX1",1.03173797134859
"TP53",1.03093461270589
"E2F6",0.971629116452753
"RUNX2",0.959368070471651
"YY1",0.951861880791694
"CREB3",0.936912162068284
"JUN",0.905061230194774
"NR4A1",0.835804533767181
"NFATC1",0.833887649381251
"ATF3",0.814427650936687
"THAP1",0.795219917360573
"SP4",0.741768463344032
"KLF1",0.718468890422376
"NR2F1",0.696707247628415
"MYC",0.682008082234365
"JUNB",0.672281323907628
"MNT",0.660051646702345
"IRF3",0.646997472041709
"MXI1",0.631278237514024
"MAF",0.610357830308942
"MYOD1",0.592444097843617
"KLF9",0.456491414408593
"SNAPC4",0.444315357858309
"PPARG",0.342716547418298
"GATA3",0.329854672189872
"MAX",0.317734108808535
"PRDM1",0.316970467610363
"EGR1",0.315798812685607
"KLF6",0.315244512260007
"KLF5",0.259624644032267
"NR2C2",0.21422668684334
"HBP1",0.162023891987158
"ESR1",0.138510758695987
"FOXP1",0.125430072232063
"FOXP2",0.107783538674623
"ZBTB7A",0.106034465060103
"BHLHE40",0.073812769075386
"SOX13",0.0445159898550161
"FOXK2",0.0350071674243227
"CTCF",0.0138894350929266
"THAP11",-0.00805516405906837
"ZEB2",-0.00984842048900766
"SNAI2",-0.0183030916814276
"BATF",-0.0247381980534185
"NFE2L1",-0.146882050504957
"PAX5",-0.164083320818732
"DUX4",-0.181252836823633
"CLOCK",-0.222472033752354
"ONECUT1",-0.254762741103691
"AHR",-0.28570370707311
"GFI1B",-0.296875117293356
"PBX2",-0.338577675207552
"FOS",-0.365608773294734
"CEBPG",-0.370001627690521
"ARNT",-0.385751080297348
"BACH2",-0.398215527484622
"KLF13",-0.485327138666703
"PRDM14",-0.518623050560731
"MEIS1",-0.521774338852016
"ASCL1",-0.595171015634784
"CTCFL",-0.660395565740415
"ZNF384",-0.678857252787952
"RBPJ",-0.681336412580222
"PDX1",-0.699111180957576
"CREM",-0.700007622509923
"IRF4",-0.73599220467021
"SPIB",-0.9147017923422
"ZFX",-0.930410337611846
"RELA",-0.93203062164551
"GRHL2",-0.996735713738643
"ELF1",-1.0006741749943
"OTX2",-1.01080277920103
"ZNF740",-1.01785689969153
"MAFB",-1.03328663192931
"MBD1",-1.14283588954897
"BACH1",-1.20049338746791
"ELF3",-1.21739332805965
"TCF4",-1.23929945836349
"TEAD4",-1.27016390579132
"EBF1",-1.36248441552435
"PBX3",-1.36325473682765
"NFYB",-1.36426360021569
"E2F4",-1.37006205619133
"MAFK",-1.39639810295273
"NRF1",-1.45702008041312
"MAZ",-1.49268530478472
"LYL1",-1.53216377121636
"TBX21",-1.53568833806254
"TFAP4",-1.54557871206764
"TEAD1",-1.63616080543547
"TCF12",-1.66860573128169
"NANOG",-1.67186846424576
"HOXB13",-1.7050567728971
"HNF4G",-1.72592077809577
"MEIS2",-1.7659011535866
"SIX2",-1.77855329954467
"MEF2A",-1.80314150085716
"GABPA",-1.85592101696345
"NFE2",-1.95058056936763
"TCF7",-2.06595540873027
"MAFF",-2.0846330896512
"GATA6",-2.14292336080732
"ESRRA",-2.34457360983222
"POU5F1",-2.3852715087536
"ZNF143",-2.41168749784283
"MEF2C",-2.9297795261984
