"","h_DRG_1","h_DRG_2","h_DRG_3"
"TSPAN6",7.522022,11.440957,12.449025
"TNMD",0.347415,0.448565,0.106124
"DPM1",21.394982,27.473092,28.388704
"SCYL3",3.8633,4.867655,4.415718
"C1orf112",1.993955,2.025894,1.962048
"FGR",4.926207,3.339873,6.518703
"CFH",52.742282,79.956853,163.186397
"FUCA2",15.722493,16.01243,20.258687
"GCLC",28.553847,33.15009,27.446351
"NFYA",4.814236,4.534351,5.016043
"STPG1",8.354052,5.845898,5.886423
"NIPAL3",41.64327,34.256076,25.708551
"LAS1L",17.639036,16.80872,18.37077
"ENPP4",8.618596,10.603033,11.308101
"SEMA3F",6.297815,5.246772,6.134548
"CFTR",6.004587,7.854171,5.679444
"ANKIB1",9.847774,15.121641,9.709936
"CYP51A1",109.740059,88.72334,63.683883
"KRIT1",23.904794,29.07709,29.680025
"RAD52",19.299267,9.885523,6.762603
"BAD",85.498975,78.165632,54.550508
"LAP3",36.815375,25.351727,79.028773
"CD99",141.867692,192.997137,165.613739
"HS3ST1",3.144965,3.78241,1.749449
"AOC1",0.115924,0.218449,0.135144
"WNT16",0.107202,0,0.103763
"HECW1",11.981886,14.552276,10.886258
"MAD1L1",32.141114,33.265514,26.729927
"LASP1",29.571182,25.957473,27.751187
"SNX11",14.877395,13.53422,12.490403
"TMEM176A",104.474594,100.062154,88.214527
"M6PR",159.767393,137.928412,213.605605
"KLHL13",5.566871,6.931967,4.149154
"CYP26B1",2.840598,5.001196,3.492766
"ICA1",22.551233,27.626888,26.8726
"DBNDD1",29.692739,33.526808,18.870572
"ALS2",15.436041,14.785334,14.771093
"CASP10",3.83036,2.393653,4.805821
"CFLAR",62.556268,61.379954,60.50766
"TFPI",11.743334,15.470453,21.788007
"NDUFAF7",15.381577,15.776326,19.083576
"RBM5",121.322561,146.466624,122.696549
"MTMR7",10.65143,12.124828,9.848094
"SLC7A2",7.032975,12.277454,14.778316
"ARF5",95.204385,89.995115,71.352785
"SARM1",17.028994,12.116073,11.736694
"POLDIP2",24.632222,27.845735,26.511396
"PLXND1",108.727565,103.367225,107.420236
"AK2",197.864305,179.522497,220.316752
"CD38",0.562493,0.9649,1.232063
"FKBP4",230.621359,157.622075,102.230174
"KDM1A",17.956844,19.66497,21.059818
"RBM6",85.630758,97.166896,96.621511
"CAMKK1",22.213052,23.201859,10.250715
"RECQL",8.173424,11.219747,11.780873
"VPS50",35.146569,41.121161,30.274447
"HSPB6",51.533719,61.363406,58.164522
"ARHGAP33",48.185977,23.408154,42.682182
"NDUFAB1",114.008111,129.448168,101.916463
"PDK4",273.417832,166.148572,97.899649
"SLC22A16",0.163226,0.1966,0.224349
"ZMYND10",0.920259,1.033975,0.929208
"ABCB5",0.013333,0.245449,0.094706
"ARX",7.129534,0.031646,0.030173
"SLC25A13",7.294796,12.096296,16.84892
"ST7",13.101402,13.720336,10.478013
"CDC27",83.689379,83.834134,80.459228
"SLC4A1",0.125752,0.295072,0.214961
"CALCR",0.032456,0.059137,0.140185
"HCCS",9.19942,10.792633,10.14237
"DVL2",19.543736,20.206692,17.559408
"PRSS22",0,0,0
"UPF1",16.258381,15.259071,18.431565
"SKAP2",21.34671,18.702553,21.894601
"SLC25A5",106.615867,138.31667,107.577031
"MCUB",7.182757,7.264283,10.727452
"HOXA11",0.114707,0.465883,0.343561
"POLR2J",10.490943,13.261622,10.290461
"DHX33",3.067334,3.456655,3.825831
"MEOX1",0.291304,0.295093,0.212035
"THSD7A",5.813902,8.662884,4.641798
"LIG3",60.278784,63.179803,45.527432
"RPAP3",13.712675,17.889634,18.067922
"ACSM3",2.081127,2.450612,2.471677
"REXO5",3.379363,3.063295,2.619048
"CIAPIN1",73.516582,102.402717,66.15305
"SPPL2B",28.52111,38.655813,31.141262
"FAM214B",13.028084,11.44337,11.615925
"COPZ2",37.747011,45.83793,63.712965
"PRKAR2B",32.854481,29.285239,22.320059
"MSL3",25.937821,24.534373,31.049453
