source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dip_url
P0DP25	P48995	1	0	1	1	0	1	
Q03135	P48995	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=104198
P14416	P48995	1	1	0	1	1	0	
Q02790	P48995	1	0	1	1	0	1	
Q99750	P48995	1	0	1	1	0	1	
Q14571	P48995	1	1	0	1	1	0	
P29966	P48995	1	0	1	1	0	1	
Q13255	P48995	1	1	0	1	1	0	
Q13586	P48995	1	1	0	1	1	0	
P48995	Q13507	1	1	0	1	1	0	
Q13507	P48995	1	1	0	1	1	0	
P48995	Q9UBN4	1	1	0	1	1	0	
Q9UBN4	P48995	1	1	0	1	1	0	
P48995	Q9UL62	1	1	0	1	1	0	
Q9UL62	P48995	1	1	0	1	1	0	
P48995	Q9Y210	1	0	1	1	0	1	
P48995	Q13563	1	1	0	1	1	0	
Q13563	P48995	1	1	0	1	1	0	
P48995	Q9HBA0	1	1	0	1	1	0	
Q9HBA0	P48995	1	1	0	1	1	0	
P48995	Q9H1D0	1	0	1	1	0	1	
P0DP25	Q13507	1	0	1	1	0	1	
P41180	Q13507	1	1	0	1	1	0	
P19235	Q13507	1	1	0	1	1	0	
Q86YM7	Q13507	1	1	0	1	1	0	
Q14643	Q13507	1	1	0	1	1	0	
Q14573	Q13507	1	1	0	1	1	0	
Q12797	Q13507	1	1	0	1	1	0	
Q96D31	Q13507	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=196708
Q13976	Q13507	1	0	1	1	0	1	
Q9Y225	Q13507	1	0	1	1	0	1	
P12931	Q13507	1	1	0	1	1	0	
Q8TD43	Q13507	1	0	1	1	0	1	
Q13563	Q13507	1	1	0	1	1	0	
Q96J92	Q13507	1	0	1	1	0	1	
P06241	Q9UBN4	1	0	0	0	0	0	
O14745	Q9UBN4	1	1	0	1	1	0	
P11171	Q9UBN4	1	1	0	1	1	0	
Q9Y225	Q9UBN4	1	0	1	1	0	1	
Q9NZU7	Q9UL62	1	0	1	1	0	1	
P62166	Q9UL62	1	1	0	1	1	0	
Q86VW0	Q9UL62	1	1	0	1	1	0	
Q9UL62	Q9Y210	1	0	1	1	0	1	
P0DP25	Q9Y210	1	1	0	1	1	0	
P06241	Q9Y210	1	1	0	1	1	0	
P11229	Q9Y210	1	1	0	1	1	0	
P20591	Q9Y210	1	1	0	1	1	0	
O60500	Q9Y210	1	1	0	1	1	0	
Q13976	Q9Y210	1	0	1	1	0	1	
Q9NP85	Q9Y210	1	1	0	1	1	0	
Q9Y225	Q9Y210	1	0	1	1	0	1	
Q96H20	Q9Y210	1	1	0	1	1	0	
P12931	Q9Y210	1	0	0	0	0	0	
Q13976	Q9HCX4	1	0	0	0	0	0	
Q13563	Q9HCX4	1	1	0	1	1	0	
P24588	Q8NER1	1	1	0	1	1	0	
P0DP25	Q8NER1	1	1	0	1	1	0	
P21554	Q8NER1	1	0	1	1	0	1	
Q00535	Q8NER1	1	1	0	1	1	0	
Q8NER1	P29474	1	0	0	0	0	0	
Q9UNN5	Q8NER1	1	0	1	1	0	1	
O95166	Q8NER1	1	1	0	1	1	0	
Q9NQT8	Q8NER1	1	1	0	1	1	0	
P0C851	Q8NER1	1	1	0	1	1	0	
P17612	Q8NER1	1	1	0	1	1	0	
P12931	Q8NER1	1	1	0	1	1	0	
P04629	Q8NER1	1	1	0	1	1	0	
Q9BRV3	Q9Y5S1	1	1	0	1	1	0	
P00533	Q8NET8	1	1	0	1	1	0	
P24588	Q9HBA0	1	1	0	1	1	0	
P0DP25	Q9HBA0	1	1	0	1	1	0	
P06241	Q9HBA0	1	1	0	1	1	0	
P08631	Q9HBA0	1	1	0	1	1	0	
Q14573	Q9HBA0	1	1	0	1	1	0	
Q96J02	Q9HBA0	1	1	1	1	0	1	
P06239	Q9HBA0	1	1	0	1	1	0	
P07948	Q9HBA0	1	1	0	1	1	0	
Q14244	Q9HBA0	1	1	0	1	1	0	
Q13438	Q9HBA0	1	0	1	1	0	1	
Q9UKS6	Q9HBA0	1	1	0	1	1	0	
P12931	Q9HBA0	1	1	0	1	1	0	
Q9HBA0	P12931	1	0	0	0	0	0	
Q13563	Q9HBA0	1	1	0	1	1	0	
Q9HBA0	Q13563	1	1	0	0	0	0	
P07947	Q9HBA0	1	1	0	1	1	0	
Q5W0U4	Q9NQA5	1	0	1	1	0	1	
P05937	Q9NQA5	1	1	0	1	1	0	
P0DP25	Q9NQA5	1	0	1	1	0	1	
P23284	Q9NQA5	1	1	0	1	1	0	
Q02790	Q9NQA5	1	0	1	1	0	1	
Q9UEF7	Q9NQA5	1	1	0	1	1	0	
P62491	Q9NQA5	1	1	0	1	1	0	
P60903	Q9NQA5	1	1	0	1	1	0	
P21980	Q9NQA5	1	0	1	1	0	1	
Q8TDD5	Q9NQA5	1	1	0	1	1	0	
Q9NQA5	Q8TDD5	1	1	0	1	1	0	
Q9H1D0	Q9NQA5	1	1	0	1	1	0	
Q9NQA5	Q9H1D0	1	1	0	1	1	0	
P0DP25	Q9H1D0	1	0	1	1	0	1	
P23284	Q9H1D0	1	1	0	1	1	0	
P06241	Q9H1D0	1	1	0	1	1	0	
Q9UEF7	Q9H1D0	1	1	0	1	1	0	
Q86UT5	Q9H1D0	1	1	0	1	1	0	
Q9BPW8	Q9H1D0	1	0	1	1	0	1	
P49757	Q9H1D0	1	0	1	1	0	1	
P18031	Q9H1D0	1	0	1	1	0	1	
P62491	Q9H1D0	1	1	0	1	1	0	
P41220	Q9H1D0	1	0	1	1	0	1	
P60903	Q9H1D0	1	1	0	1	1	0	
P12931	Q9H1D0	1	1	0	1	1	0	
Q9GZU5	Q7Z4N2	1	1	0	1	1	0	
P0DP25	O94759	1	1	0	1	1	0	
Q5JVL4	O94759	1	1	0	1	1	0	
Q12923	O94759	1	0	1	1	0	1	
P0DP25	Q8TD43	1	1	0	1	1	0	
P63244	Q9BX84	1	0	1	1	0	1	
Q99623	Q9BX84	1	0	1	1	0	1	
Q96QT4	Q9BX84	1	1	0	0	0	0	
Q9BX84	Q96QT4	1	1	0	1	1	0	
Q96QT4	P04083	1	1	0	1	1	0	
Q96QT4	P35579	1	0	0	0	0	0	
P63244	Q96QT4	1	0	1	1	0	1	
P28222	Q7Z2W7	1	1	0	1	1	0	
P35372	Q7Z2W7	1	0	1	1	0	1	
P17612	Q9GZU1	1	0	1	1	0	1	
Q8IZK6	Q9GZU1	1	1	0	1	1	0	
Q9GZU1	Q8IZK6	1	1	0	1	1	0	
Q8TDD5	Q9GZU1	1	1	0	0	0	0	
Q9GZU1	Q8TDD5	1	1	0	1	1	0	
Q8IZK6	Q8TDD5	1	1	0	1	1	0	
P14314	Q13563	1	0	1	1	0	1	
Q9Y496	Q13563	1	1	0	1	1	0	
P98161	Q13563	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=191572
Q13190	Q13563	1	0	1	1	0	1	
P98161	Q9P0L9	1	1	0	1	1	0	
Q7Z443	Q9P0L9	1	1	0	1	1	0	
P19237	Q9P0L9	1	0	1	1	0	1	
P19429	Q9P0L9	1	0	1	1	0	1	
P63244	Q9NZM6	1	0	1	1	0	1	
P17612	Q13563	1	0	0	0	0	0	
P42574	O75822	1	0	1	1	0	1	
P42574	P16144	1	1	1	1	0	1	
P49137	Q16539	1	1	0	0	0	0	
Q16539	P49137	1	1	0	1	1	0	
P49137	Q13151	1	1	0	1	1	0	
P31483	P24522	1	0	1	1	0	1	
Q14103	P24522	1	0	1	1	0	1	
P49137	O95453	1	0	1	1	0	1	
Q13151	P24522	1	1	0	1	1	0	
O60674	P19235	1	1	0	1	1	0	
P19235	O60674	1	1	0	0	0	0	
B1AK53	Q9UKN7	1	1	0	1	1	0	
O95452	P29033	1	1	0	1	1	0	
P29033	O95452	1	1	0	1	1	0	
Q16539	Q01085	1	0	1	1	0	1	
O95453	P24522	1	1	0	1	1	0	
P49757	P46531	1	1	1	1	0	1	
Q01085	P24522	1	0	1	1	0	1	
Q15915	Q92858	1	0	1	1	0	1	
Q16539	P26651	1	1	0	1	1	0	
Q5TA89	Q92858	1	0	1	1	0	1	
Q92858	Q5TA89	1	1	0	1	1	0	
P49137	P26651	1	1	1	1	0	1	
P46531	Q9Y219	1	0	1	0	0	0	
Q9Y219	P46531	1	1	1	1	1	0	
O00548	P46531	1	1	0	1	1	0	
P46531	O00548	1	1	1	0	0	0	
Q15475	Q8NES3	1	1	0	1	1	0	
Q15475	P32243	1	1	0	1	1	0	
Q15475	A6NHT5	1	1	1	1	1	1	
Q15475	P56178	1	0	1	1	0	1	
Q15475	P32242	1	1	0	1	1	0	
Q15475	Q9UI36	1	1	1	1	1	1	
Q15475	Q96NX9	1	0	1	1	0	1	
Q13402	Q96QU1	1	1	0	1	1	0	
Q96QU1	Q13402	1	1	0	1	1	0	
Q06546	Q16881	1	1	0	1	1	0	
Q06546	P10599	1	1	0	1	1	0	
P27361	Q06546	1	1	0	1	1	0	
P28482	Q06546	1	1	0	1	1	0	
P50607	P28482	1	1	0	1	1	0	
P50607	P27361	1	1	0	1	1	0	
